country,continent,risk_cluster,cluster_reason,cases,deaths,tests,recovered,cases_per_100k,deaths_per_100k,tests_per_100k,recovery_rate,death_rate
Saint-Kitts-and-Nevis,North-America,Moderate Risk,mixed values without severe extremes,6607,48.0,126958.0,6559.0,12264.483673961871,89.10174305284848,235670.397802157,99.27349780535796,0.7265021946420462
Thailand,Asia,Moderate Risk,mixed values without severe extremes,4770149,34586.0,17273454.0,4692636.0,6806.894006685645,49.35343447662321,24648.825541374114,98.37504027651967,0.7250507269269786
Belarus,Europe,Moderate Risk,mixed values without severe extremes,994037,7118.0,13646641.0,985592.0,10538.090492748706,75.46009668391146,144672.2182172844,99.1504340381696,0.7160699249625517
Malaysia,Asia,Moderate Risk,mixed values without severe extremes,5278406,37348.0,68580916.0,5233268.0,15907.882662742182,112.55814760897417,206686.86050890698,99.14485547341376,0.7075620935562744
Tajikistan,Asia,Moderate Risk,low testing per 100k,17786,125.0,0.0,17264.0,178.61977708380365,1.2553397130032307,0.0,97.06510738783312,0.7027999550208028
Asia,Asia,Moderate Risk,mixed values without severe extremes,221500265,1553662.0,0.0,205673091.0,,,,92.85455753292214,0.7014267003247152
Dominican-Republic,North-America,Moderate Risk,mixed values without severe extremes,675890,4384.0,3740928.0,671316.0,6113.127545478308,39.65135030756026,33835.047126679005,99.3232626610839,0.6486262557516755
Cabo-Verde,Africa,Moderate Risk,mixed values without severe extremes,64477,417.0,401622.0,63755.0,11358.023386497274,73.4571359115555,70748.2058490905,98.88022085394792,0.6467422491741242
Uzbekistan,Asia,Moderate Risk,low testing per 100k,253662,1637.0,1377915.0,241486.0,737.773777761697,4.761200629955996,4007.654102642527,95.19991169351341,0.6453469577626921
Gabon,Africa,Moderate Risk,mixed values without severe extremes,49051,307.0,1621909.0,48674.0,2103.8089531651494,13.167302371444025,69564.05935493944,99.2314122036248,0.6258791869686653
Timor-Leste,Asia,Moderate Risk,mixed values without severe extremes,23460,138.0,278529.0,23102.0,1713.122768686803,10.077192756981194,20339.061024704457,98.47399829497017,0.5882352941176471
